domain,model,horizon,n,coverage,delta_cov,winkler,crps,cas
hydro,qar,1,38,0.7368421052631579,-0.16315789473684217,0.07471557645153935,0.0062904202654604216,0.04124803316989433
hydro,qar,3,35,0.6,-0.30000000000000004,0.09392353360484913,0.010267302877209677,0.04316383259415087
hydro,qar,5,33,0.5151515151515151,-0.3848484848484849,0.1262052212177335,0.013888054509559733,0.0647992429190189
hydro,qar,7,32,0.6875,-0.21250000000000002,0.10577130493939874,0.013377451246446799,0.09547104586030514
hydro,qgbm,1,38,0.13157894736842105,-0.768421052631579,0.4049663789701922,0.023150900313907416,0.8393296276984833
hydro,qgbm,3,35,0.14285714285714285,-0.7571428571428571,0.5178409583944014,0.024326793713206573,1.071944570190949
hydro,qgbm,5,33,0.21212121212121213,-0.6878787878787879,0.2577136895167731,0.02315256561678105,0.442402951630531
hydro,qgbm,7,32,0.0,-0.9,0.5599527845148844,0.035390228385526704,0.8320111838204537
hydro,xtft,1,38,0.6842105263157895,-0.21578947368421053,0.6670055664502658,0.05539995312190792,0.0
hydro,xtft,3,35,0.05714285714285714,-0.8428571428571429,0.6630612245527797,0.0769255793004803,0.7538673583113195
hydro,xtft,5,33,0.6363636363636364,-0.26363636363636367,0.23191327779065996,0.029200019995188217,0.0
hydro,xtft,7,32,0.1875,-0.7125,0.3529932020071202,0.025777547468779333,0.2508217176791695
