domain,h,lam,gam,default,tau
hydro,3,0.5,1.0,False,1.0
hydro,3,0.5,2.0,False,1.0
hydro,3,1.0,1.0,False,1.0
hydro,3,1.0,2.0,False,1.0
hydro,3,2.0,1.0,False,1.0
hydro,3,2.0,2.0,False,1.0
hydro,5,0.5,1.0,False,1.0
hydro,5,0.5,2.0,False,1.0
hydro,5,1.0,1.0,True,1.0
hydro,5,1.0,2.0,False,1.0
hydro,5,2.0,1.0,False,1.0
hydro,5,2.0,2.0,False,1.0
hydro,7,0.5,1.0,False,1.0
hydro,7,0.5,2.0,False,1.0
hydro,7,1.0,1.0,False,1.0
hydro,7,1.0,2.0,False,1.0
hydro,7,2.0,1.0,False,1.0
hydro,7,2.0,2.0,False,1.0
wind,3,0.5,1.0,False,1.0
wind,3,0.5,2.0,False,1.0
wind,3,1.0,1.0,False,1.0
wind,3,1.0,2.0,False,1.0
wind,3,2.0,1.0,False,1.0
wind,3,2.0,2.0,False,1.0
wind,5,0.5,1.0,False,1.0
wind,5,0.5,2.0,False,1.0
wind,5,1.0,1.0,True,1.0
wind,5,1.0,2.0,False,1.0
wind,5,2.0,1.0,False,1.0
wind,5,2.0,2.0,False,1.0
wind,7,0.5,1.0,False,1.0
wind,7,0.5,2.0,False,1.0
wind,7,1.0,1.0,False,1.0
wind,7,1.0,2.0,False,1.0
wind,7,2.0,1.0,False,1.0
wind,7,2.0,2.0,False,1.0
subsidence,3,0.5,1.0,False,1.0
subsidence,3,0.5,2.0,False,1.0
subsidence,3,1.0,1.0,False,1.0
subsidence,3,1.0,2.0,False,1.0
subsidence,3,2.0,1.0,False,1.0
subsidence,3,2.0,2.0,False,1.0
subsidence,5,0.5,1.0,False,1.0
subsidence,5,0.5,2.0,False,1.0
subsidence,5,1.0,1.0,True,1.0
subsidence,5,1.0,2.0,False,1.0
subsidence,5,2.0,1.0,False,1.0
subsidence,5,2.0,2.0,False,1.0
subsidence,7,0.5,1.0,False,1.0
subsidence,7,0.5,2.0,False,1.0
subsidence,7,1.0,1.0,False,1.0
subsidence,7,1.0,2.0,False,1.0
subsidence,7,2.0,1.0,False,1.0
subsidence,7,2.0,2.0,False,1.0
