domain,series_id,t,y,T
wind,zone_1,2006-01-01 00:00:00,3010,22.66666667
wind,zone_1,2006-01-01 01:00:00,2853,20.66666667
wind,zone_1,2006-01-01 02:00:00,2758,21.33333333
wind,zone_1,2006-01-01 03:00:00,2705,19.0
wind,zone_1,2006-01-01 04:00:00,2709,19.33333333
wind,zone_1,2006-01-01 05:00:00,2753,18.66666667
wind,zone_1,2006-01-01 06:00:00,2849,18.0
wind,zone_1,2006-01-01 07:00:00,3008,17.66666667
wind,zone_1,2006-01-01 08:00:00,3243,19.0
wind,zone_1,2006-01-01 09:00:00,3468,19.66666667
wind,zone_1,2006-01-01 10:00:00,3598,19.33333333
wind,zone_1,2006-01-01 11:00:00,3673,20.33333333
wind,zone_1,2006-01-01 12:00:00,3695,21.0
wind,zone_1,2006-01-01 13:00:00,3640,22.0
wind,zone_1,2006-01-01 14:00:00,3592,22.66666667
wind,zone_1,2006-01-01 15:00:00,3626,23.0
wind,zone_1,2006-01-01 16:00:00,3924,23.33333333
wind,zone_1,2006-01-01 17:00:00,4159,23.66666667
wind,zone_1,2006-01-01 18:00:00,4095,23.66666667
wind,zone_1,2006-01-01 19:00:00,3967,23.66666667
wind,zone_1,2006-01-01 20:00:00,3817,23.33333333
wind,zone_1,2006-01-01 21:00:00,3556,24.0
wind,zone_1,2006-01-01 22:00:00,3255,24.33333333
wind,zone_1,2006-01-01 23:00:00,2985,24.33333333
wind,zone_1,2006-01-02 00:00:00,2783,24.33333333
wind,zone_1,2006-01-02 01:00:00,2683,24.0
wind,zone_1,2006-01-02 02:00:00,2639,24.0
wind,zone_1,2006-01-02 03:00:00,2639,24.0
wind,zone_1,2006-01-02 04:00:00,2694,24.0
wind,zone_1,2006-01-02 05:00:00,2845,24.0
wind,zone_1,2006-01-02 06:00:00,3094,21.66666667
wind,zone_1,2006-01-02 07:00:00,3326,21.66666667
wind,zone_1,2006-01-02 08:00:00,3522,21.66666667
wind,zone_1,2006-01-02 09:00:00,3701,22.66666667
wind,zone_1,2006-01-02 10:00:00,3750,26.66666667
wind,zone_1,2006-01-02 11:00:00,3721,29.0
wind,zone_1,2006-01-02 12:00:00,3635,33.0
wind,zone_1,2006-01-02 13:00:00,3566,36.33333333
wind,zone_1,2006-01-02 14:00:00,3515,36.66666667
wind,zone_1,2006-01-02 15:00:00,3582,37.0
wind,zone_1,2006-01-02 16:00:00,3949,34.66666667
wind,zone_1,2006-01-02 17:00:00,4251,30.33333333
wind,zone_1,2006-01-02 18:00:00,4201,29.66666667
wind,zone_1,2006-01-02 19:00:00,4090,28.0
wind,zone_1,2006-01-02 20:00:00,3898,28.33333333
wind,zone_1,2006-01-02 21:00:00,3594,29.33333333
wind,zone_1,2006-01-02 22:00:00,3210,29.0
wind,zone_1,2006-01-02 23:00:00,2913,29.0
wind,zone_1,2006-01-03 00:00:00,2734,29.66666667
wind,zone_1,2006-01-03 01:00:00,2661,29.33333333
wind,zone_1,2006-01-03 02:00:00,2624,28.66666667
wind,zone_1,2006-01-03 03:00:00,2641,28.33333333
wind,zone_1,2006-01-03 04:00:00,2742,29.0
wind,zone_1,2006-01-03 05:00:00,3051,28.33333333
wind,zone_1,2006-01-03 06:00:00,3601,28.0
wind,zone_1,2006-01-03 07:00:00,3886,28.0
wind,zone_1,2006-01-03 08:00:00,3910,27.0
wind,zone_1,2006-01-03 09:00:00,3944,27.0
wind,zone_1,2006-01-03 10:00:00,3975,27.66666667
wind,zone_1,2006-01-03 11:00:00,3961,27.33333333
wind,zone_1,2006-01-03 12:00:00,3928,27.33333333
wind,zone_1,2006-01-03 13:00:00,3883,28.33333333
wind,zone_1,2006-01-03 14:00:00,3835,27.33333333
wind,zone_1,2006-01-03 15:00:00,3857,27.33333333
wind,zone_1,2006-01-03 16:00:00,4135,26.66666667
wind,zone_1,2006-01-03 17:00:00,4420,24.33333333
wind,zone_1,2006-01-03 18:00:00,4396,24.0
