domain,series_id,t,y,product,lat,lon
subsidence,4Kdbj5ZSD2,2019-01-05,7.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-01-11,0.80000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-01-17,-0.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-01-23,3.70000005,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-01-29,1.79999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-02-04,3.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-02-10,3.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-02-16,0.69999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-02-22,11.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-02-28,12.30000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-03-06,-8.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-03-12,-2.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-03-18,0.80000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-03-24,-4.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-03-30,-12.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-04-05,-2.79999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-04-11,12.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-04-17,-2.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-04-23,-6.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-04-29,2.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-05-05,-2.20000005,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-05-11,0.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-05-17,4.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2019-05-23,-0.89999998,A02-075,38.6035881,-28.75266647
