domain,series_id,t,y,T
wind,zone_1,1/1/2006 0:00,3010,22.66666667
wind,zone_1,1/1/2006 1:00,2853,20.66666667
wind,zone_1,1/1/2006 2:00,2758,21.33333333
wind,zone_1,1/1/2006 3:00,2705,19
wind,zone_1,1/1/2006 4:00,2709,19.33333333
wind,zone_1,1/1/2006 5:00,2753,18.66666667
wind,zone_1,1/1/2006 6:00,2849,18
wind,zone_1,1/1/2006 7:00,3008,17.66666667
wind,zone_1,1/1/2006 8:00,3243,19
wind,zone_1,1/1/2006 9:00,3468,19.66666667
wind,zone_1,1/1/2006 10:00,3598,19.33333333
wind,zone_1,1/1/2006 11:00,3673,20.33333333
wind,zone_1,1/1/2006 12:00,3695,21
wind,zone_1,1/1/2006 13:00,3640,22
wind,zone_1,1/1/2006 14:00,3592,22.66666667
wind,zone_1,1/1/2006 15:00,3626,23
wind,zone_1,1/1/2006 16:00,3924,23.33333333
wind,zone_1,1/1/2006 17:00,4159,23.66666667
wind,zone_1,1/1/2006 18:00,4095,23.66666667
wind,zone_1,1/1/2006 19:00,3967,23.66666667
wind,zone_1,1/1/2006 20:00,3817,23.33333333
wind,zone_1,1/1/2006 21:00,3556,24
wind,zone_1,1/1/2006 22:00,3255,24.33333333
wind,zone_1,1/1/2006 23:00,2985,24.33333333
wind,zone_1,1/2/2006 0:00,2783,24.33333333
wind,zone_1,1/2/2006 1:00,2683,24
wind,zone_1,1/2/2006 2:00,2639,24
wind,zone_1,1/2/2006 3:00,2639,24
wind,zone_1,1/2/2006 4:00,2694,24
wind,zone_1,1/2/2006 5:00,2845,24
wind,zone_1,1/2/2006 6:00,3094,21.66666667
wind,zone_1,1/2/2006 7:00,3326,21.66666667
wind,zone_1,1/2/2006 8:00,3522,21.66666667
wind,zone_1,1/2/2006 9:00,3701,22.66666667
wind,zone_1,1/2/2006 10:00,3750,26.66666667
wind,zone_1,1/2/2006 11:00,3721,29
wind,zone_1,1/2/2006 12:00,3635,33
wind,zone_1,1/2/2006 13:00,3566,36.33333333
wind,zone_1,1/2/2006 14:00,3515,36.66666667
wind,zone_1,1/2/2006 15:00,3582,37
wind,zone_1,1/2/2006 16:00,3949,34.66666667
wind,zone_1,1/2/2006 17:00,4251,30.33333333
wind,zone_1,1/2/2006 18:00,4201,29.66666667
wind,zone_1,1/2/2006 19:00,4090,28
wind,zone_1,1/2/2006 20:00,3898,28.33333333
wind,zone_1,1/2/2006 21:00,3594,29.33333333
wind,zone_1,1/2/2006 22:00,3210,29
wind,zone_1,1/2/2006 23:00,2913,29
wind,zone_1,1/3/2006 0:00,2734,29.66666667
wind,zone_1,1/3/2006 1:00,2661,29.33333333
wind,zone_1,1/3/2006 2:00,2624,28.66666667
wind,zone_1,1/3/2006 3:00,2641,28.33333333
wind,zone_1,1/3/2006 4:00,2742,29
wind,zone_1,1/3/2006 5:00,3051,28.33333333
wind,zone_1,1/3/2006 6:00,3601,28
wind,zone_1,1/3/2006 7:00,3886,28
wind,zone_1,1/3/2006 8:00,3910,27
wind,zone_1,1/3/2006 9:00,3944,27
wind,zone_1,1/3/2006 10:00,3975,27.66666667
wind,zone_1,1/3/2006 11:00,3961,27.33333333
wind,zone_1,1/3/2006 12:00,3928,27.33333333
wind,zone_1,1/3/2006 13:00,3883,28.33333333
wind,zone_1,1/3/2006 14:00,3835,27.33333333
wind,zone_1,1/3/2006 15:00,3857,27.33333333
wind,zone_1,1/3/2006 16:00,4135,26.66666667
wind,zone_1,1/3/2006 17:00,4420,24.33333333
wind,zone_1,1/3/2006 18:00,4396,24
wind,zone_1,1/3/2006 19:00,4283,22.66666667
wind,zone_1,1/3/2006 20:00,4114,21.33333333
wind,zone_1,1/3/2006 21:00,3815,20.33333333
wind,zone_1,1/3/2006 22:00,3415,19.33333333
wind,zone_1,1/3/2006 23:00,3121,17.66666667
wind,zone_1,1/4/2006 0:00,2934,19.66666667
wind,zone_1,1/4/2006 1:00,2847,18.33333333
wind,zone_1,1/4/2006 2:00,2802,17.66666667
wind,zone_1,1/4/2006 3:00,2814,16
wind,zone_1,1/4/2006 4:00,2914,15.66666667
wind,zone_1,1/4/2006 5:00,3217,13.66666667
wind,zone_1,1/4/2006 6:00,3773,12.66666667
wind,zone_1,1/4/2006 7:00,4008,12.66666667
wind,zone_1,1/4/2006 8:00,3989,13
wind,zone_1,1/4/2006 9:00,3962,16
wind,zone_1,1/4/2006 10:00,3946,21
wind,zone_1,1/4/2006 11:00,3943,24.33333333
wind,zone_1,1/4/2006 12:00,3873,26.33333333
wind,zone_1,1/4/2006 13:00,3830,29
wind,zone_1,1/4/2006 14:00,3793,30.33333333
wind,zone_1,1/4/2006 15:00,3846,29.66666667
wind,zone_1,1/4/2006 16:00,4169,28.66666667
wind,zone_1,1/4/2006 17:00,4407,28.66666667
wind,zone_1,1/4/2006 18:00,4374,28
wind,zone_1,1/4/2006 19:00,4258,26.33333333
wind,zone_1,1/4/2006 20:00,4078,26
wind,zone_1,1/4/2006 21:00,3760,26.33333333
wind,zone_1,1/4/2006 22:00,3367,27.33333333
wind,zone_1,1/4/2006 23:00,3053,27.33333333
wind,zone_1,1/5/2006 0:00,2847,27
wind,zone_1,1/5/2006 1:00,2749,26.33333333
wind,zone_1,1/5/2006 2:00,2704,26.33333333
wind,zone_1,1/5/2006 3:00,2713,26.33333333
wind,zone_1,1/5/2006 4:00,2801,27
wind,zone_1,1/5/2006 5:00,3084,26
wind,zone_1,1/5/2006 6:00,3627,26.66666667
wind,zone_1,1/5/2006 7:00,3915,27
wind,zone_1,1/5/2006 8:00,3926,27.66666667
wind,zone_1,1/5/2006 9:00,3952,28
wind,zone_1,1/5/2006 10:00,4011,28
wind,zone_1,1/5/2006 11:00,4024,28.33333333
wind,zone_1,1/5/2006 12:00,3976,29
wind,zone_1,1/5/2006 13:00,3916,29.66666667
wind,zone_1,1/5/2006 14:00,3857,30.33333333
wind,zone_1,1/5/2006 15:00,3866,30.33333333
wind,zone_1,1/5/2006 16:00,4113,30.66666667
wind,zone_1,1/5/2006 17:00,4368,30.66666667
wind,zone_1,1/5/2006 18:00,4337,30.33333333
wind,zone_1,1/5/2006 19:00,4219,30
wind,zone_1,1/5/2006 20:00,4031,30.33333333
wind,zone_1,1/5/2006 21:00,3716,30
wind,zone_1,1/5/2006 22:00,3324,29.66666667
wind,zone_1,1/5/2006 23:00,3012,29
wind,zone_1,1/6/2006 0:00,2808,29.33333333
wind,zone_1,1/6/2006 1:00,2710,28.66666667
wind,zone_1,1/6/2006 2:00,2663,28.33333333
wind,zone_1,1/6/2006 3:00,2679,28
wind,zone_1,1/6/2006 4:00,2764,28.33333333
wind,zone_1,1/6/2006 5:00,3047,27.66666667
wind,zone_1,1/6/2006 6:00,3578,27
wind,zone_1,1/6/2006 7:00,3843,26.66666667
wind,zone_1,1/6/2006 8:00,3852,26.66666667
wind,zone_1,1/6/2006 9:00,3880,26.33333333
wind,zone_1,1/6/2006 10:00,3915,27
wind,zone_1,1/6/2006 11:00,3933,26.66666667
wind,zone_1,1/6/2006 12:00,3873,27.33333333
wind,zone_1,1/6/2006 13:00,3854,27.66666667
wind,zone_1,1/6/2006 14:00,3828,27.33333333
wind,zone_1,1/6/2006 15:00,3863,28
wind,zone_1,1/6/2006 16:00,4094,27.66666667
wind,zone_1,1/6/2006 17:00,4274,26.33333333
wind,zone_1,1/6/2006 18:00,4204,26.66666667
wind,zone_1,1/6/2006 19:00,4060,26
wind,zone_1,1/6/2006 20:00,3914,25.66666667
wind,zone_1,1/6/2006 21:00,3691,24.66666667
wind,zone_1,1/6/2006 22:00,3388,24.33333333
wind,zone_1,1/6/2006 23:00,3098,23.33333333
wind,zone_1,1/7/2006 0:00,2895,22.33333333
wind,zone_1,1/7/2006 1:00,2799,21
wind,zone_1,1/7/2006 2:00,2747,20
wind,zone_1,1/7/2006 3:00,2745,18.33333333
wind,zone_1,1/7/2006 4:00,2790,17.33333333
wind,zone_1,1/7/2006 5:00,2907,16
wind,zone_1,1/7/2006 6:00,3118,14.66666667
wind,zone_1,1/7/2006 7:00,3363,11.66666667
wind,zone_1,1/7/2006 8:00,3609,10
wind,zone_1,1/7/2006 9:00,3751,13
wind,zone_1,1/7/2006 10:00,3780,17.33333333
wind,zone_1,1/7/2006 11:00,3752,19.33333333
wind,zone_1,1/7/2006 12:00,3666,21.33333333
wind,zone_1,1/7/2006 13:00,3592,23.33333333
wind,zone_1,1/7/2006 14:00,3533,24.33333333
wind,zone_1,1/7/2006 15:00,3571,24.33333333
wind,zone_1,1/7/2006 16:00,3864,24.66666667
wind,zone_1,1/7/2006 17:00,4180,23
wind,zone_1,1/7/2006 18:00,4135,18.33333333
wind,zone_1,1/7/2006 19:00,4007,16.66666667
wind,zone_1,1/7/2006 20:00,3864,15.33333333
wind,zone_1,1/7/2006 21:00,3664,16.33333333
wind,zone_1,1/7/2006 22:00,3385,15.66666667
wind,zone_1,1/7/2006 23:00,3132,15
wind,zone_1,1/8/2006 0:00,2915,15
wind,zone_1,1/8/2006 1:00,2803,15.33333333
wind,zone_1,1/8/2006 2:00,2742,16
wind,zone_1,1/8/2006 3:00,2730,15.66666667
wind,zone_1,1/8/2006 4:00,2749,16.33333333
wind,zone_1,1/8/2006 5:00,2819,18.33333333
wind,zone_1,1/8/2006 6:00,2964,18.66666667
wind,zone_1,1/8/2006 7:00,3175,17.66666667
wind,zone_1,1/8/2006 8:00,3426,19
wind,zone_1,1/8/2006 9:00,3623,20.66666667
wind,zone_1,1/8/2006 10:00,3705,23.33333333
wind,zone_1,1/8/2006 11:00,3741,24
wind,zone_1,1/8/2006 12:00,3708,25.33333333
wind,zone_1,1/8/2006 13:00,3638,26.66666667
wind,zone_1,1/8/2006 14:00,3563,28
wind,zone_1,1/8/2006 15:00,3580,29
wind,zone_1,1/8/2006 16:00,3905,28.33333333
wind,zone_1,1/8/2006 17:00,4219,26.33333333
wind,zone_1,1/8/2006 18:00,4180,23
wind,zone_1,1/8/2006 19:00,4051,23
wind,zone_1,1/8/2006 20:00,3865,20.66666667
wind,zone_1,1/8/2006 21:00,3562,20.33333333
wind,zone_1,1/8/2006 22:00,3221,18.66666667
wind,zone_1,1/8/2006 23:00,2970,20
wind,zone_1,1/9/2006 0:00,2800,20.66666667
wind,zone_1,1/9/2006 1:00,2717,22
wind,zone_1,1/9/2006 2:00,2690,23.33333333
wind,zone_1,1/9/2006 3:00,2711,23.33333333
wind,zone_1,1/9/2006 4:00,2814,24.33333333
wind,zone_1,1/9/2006 5:00,3125,24.33333333
wind,zone_1,1/9/2006 6:00,3679,25
